optimizer,learning_rate,accuracy,run
Nadam,0.020,0.6849315166473389,4
Nadam,0.030,0.6575342416763306,4
Nadam,0.040,0.7260273694992065,4
Nadam,0.050,0.42465752363204956,4
Nadam,0.060,0.42465752363204956,4
Nadam,0.070,0.7123287916183472,4
Adam,0.001,0.6575342416763306,5
Adam,0.002,0.8630136847496033,5
Adam,0.003,0.6849315166473389,5
Adam,0.005,0.8493150472640991,5
Adam,0.010,0.767123281955719,5
Adam,0.015,0.8082191944122314,5
Adam,0.020,0.7397260069847107,5
Adam,0.030,0.7534246444702148,5
Adam,0.040,0.42465752363204956,5
Adam,0.050,0.7534246444702148,5
Adam,0.060,0.6849315166473389,5
Adam,0.070,0.7260273694992065,5
SGD,0.001,0.42465752363204956,5
SGD,0.002,0.5753424763679504,5
SGD,0.003,0.6301369667053223,5
SGD,0.005,0.5890411138534546,5
SGD,0.010,0.6575342416763306,5
SGD,0.015,0.6712328791618347,5
SGD,0.020,0.6712328791618347,5
SGD,0.030,0.6438356041908264,5
SGD,0.040,0.6712328791618347,5
SGD,0.050,0.6575342416763306,5
SGD,0.060,0.6575342416763306,5
SGD,0.070,0.8904109597206116,5
RMSprop,0.001,0.7397260069847107,5
RMSprop,0.002,0.7397260069847107,5
RMSprop,0.003,0.8219178318977356,5
RMSprop,0.005,0.8082191944122314,5
RMSprop,0.010,0.8493150472640991,5
RMSprop,0.015,0.7808219194412231,5
RMSprop,0.020,0.7260273694992065,5
RMSprop,0.030,0.6301369667053223,5
RMSprop,0.040,0.7260273694992065,5
RMSprop,0.050,0.7397260069847107,5
RMSprop,0.060,0.7397260069847107,5
RMSprop,0.070,0.42465752363204956,5
Adagrad,0.001,0.6027397513389587,5
Adagrad,0.002,0.6575342416763306,5
Adagrad,0.003,0.6438356041908264,5
Adagrad,0.005,0.6712328791618347,5
Adagrad,0.010,0.6438356041908264,5
Adagrad,0.015,0.6712328791618347,5
Adagrad,0.020,0.6575342416763306,5
Adagrad,0.030,0.6575342416763306,5
Adagrad,0.040,0.6575342416763306,5
Adagrad,0.050,0.6849315166473389,5
Adagrad,0.060,0.6712328791618347,5
Adagrad,0.070,0.8630136847496033,5
Adadelta,0.001,0.31506848335266113,5
Adadelta,0.002,0.42465752363204956,5
Adadelta,0.003,0.42465752363204956,5
Adadelta,0.005,0.42465752363204956,5
Adadelta,0.010,0.4794520437717438,5
Adadelta,0.015,0.5890411138534546,5
